onset	duration	sample	event_type	face_type	rep_status	rep_lag	trial	value	stim_file
0.0009090909090909	n/a	1.0	setup_left_sym	n/a	n/a	n/a	n/a	101	n/a
24.2667272727	n/a	26693.4	show_face_initial	scrambled_face	first_show	n/a	1	4	s107.bmp
25.1130909091	n/a	27624.4	show_circle	n/a	n/a	n/a	1	0	circle.bmp
25.2803636364	n/a	27808.4	right_press	n/a	n/a	n/a	1	4096	n/a
26.8130909091	n/a	29494.4	show_cross	n/a	n/a	n/a	2	1	cross.bmp
27.4067272727	n/a	30147.4	show_face	scrambled_face	immediate_repeat	1	2	18	s107.bmp
28.0976363636	n/a	30907.4	right_press	n/a	n/a	n/a	2	4096	n/a
28.2258181818	n/a	31048.4	show_circle	n/a	n/a	n/a	2	0	circle.bmp
29.9258181818	n/a	32918.4	show_cross	n/a	n/a	n/a	3	1	cross.bmp
30.4967272727	n/a	33546.4	show_face	famous_face	first_show	n/a	3	5	f150.bmp
31.2794545455	n/a	34407.4	left_press	n/a	n/a	n/a	3	256	n/a
31.3903636364	n/a	34529.4	show_circle	n/a	n/a	n/a	3	0	circle.bmp
33.0903636364	n/a	36399.4	show_cross	n/a	n/a	n/a	4	1	cross.bmp
33.7376363636	n/a	37111.4	show_face	famous_face	first_show	n/a	4	5	f046.bmp
34.454	n/a	37899.4	right_press	n/a	n/a	n/a	4	4096	n/a
34.6112727273	n/a	38072.4	show_circle	n/a	n/a	n/a	4	0	circle.bmp
36.3112727273	n/a	39942.4	show_cross	n/a	n/a	n/a	5	1	cross.bmp
36.9449090909	n/a	40639.4	show_face	unfamiliar_face	first_show	n/a	5	13	u112.bmp
37.6649090909	n/a	41431.4	left_press	n/a	n/a	n/a	5	256	n/a
37.8003636364	n/a	41580.4	show_circle	n/a	n/a	n/a	5	0	circle.bmp
39.5003636364	n/a	43450.4	show_cross	n/a	n/a	n/a	6	1	cross.bmp
40.1521818182	n/a	44167.4	show_face	unfamiliar_face	first_show	n/a	6	13	u054.bmp
41.0267272727	n/a	45129.4	right_press	n/a	n/a	n/a	6	4096	n/a
41.0994545455	n/a	45209.4	show_circle	n/a	n/a	n/a	6	0	circle.bmp
42.7994545455	n/a	47079.4	show_cross	n/a	n/a	n/a	7	1	cross.bmp
